Episode,Reward
1358,1
1359,-1
1360,-1
1361,-1
1362,0.1428571428571428
1363,3.142857142857143
1364,-1
1365,0.5
1366,-1
1367,-1
1368,-1
1369,-1
1370,-1
1371,3.0
1372,1.0
1373,-1
1374,-1
1375,3.5
1376,-1
1377,3.166666666666667
1378,-1
1379,-1
1380,2.833333333333333
1381,-1
1382,-1
1383,4.0
1384,1.0
1385,-1
1386,-1
1387,-1
1388,0.19999999999999996
1389,0.25
1390,-1
1391,0.25
1392,0.125
1393,-1
1394,-1
1395,-1
1396,0.19999999999999996
1397,-1
1398,3.0
1399,-1
1400,-1
1401,-1
1402,1
1403,3.333333333333333
1404,0.33333333333333326
1405,-1
1406,-1
1407,0.5
1408,-1
1409,1
1410,-1
1411,2.642857142857143
1412,-1
1413,3.5
1414,-1
1415,3.125
1416,0.25
1417,-1
1418,-1
1419,0.33333333333333326
1420,0.25
1421,1.0
1422,0.5
1423,-1
1424,-1
1425,0.33333333333333326
1426,-1
1427,-1
1428,0.33333333333333326
1429,0.5
1430,1.0
1431,-1
1432,-1
1433,-1
1434,-1
1435,-1
1436,-1
1437,-1
1438,1.0
1439,-1
1440,-1
1441,-1
1442,-1
1443,0.19999999999999996
1444,-1
1445,-1
1446,-1
1447,2.533333333333333
1448,-1
1449,0.16666666666666674
1450,-1
1451,-1
1452,-1
1453,-1
1454,1
1455,-1
1456,-1
1457,-1
1458,-1
1459,0.5
1460,1.0
1461,0.5
1462,-1
1463,-1
1464,-1
1465,-1
1466,-1
1467,-1
1468,-1
1469,-1
1470,0.16666666666666674
1471,-1
1472,0.25
1473,-1
1474,3.2
1475,-1
1476,1.0
1477,-1
1478,0.5
1479,-1
1480,-1
1481,0.16666666666666674
1482,3.25
1483,-1
1484,-1
1485,-1
1486,0.25
1487,3.333333333333333
1488,-1
1489,-1
1490,-1
1491,-1
1492,0.5
1493,3.333333333333333
1494,0.1428571428571428
1495,-1
1496,-1
1497,2.590909090909091
1498,3.333333333333333
1499,-1
1500,3.333333333333333
1501,-1
1502,2.3666666666666667
1503,1.0
1504,-1
1505,-1
1506,-1
1507,1.0
1508,-1
1509,-1
1510,1
1511,0.5
1512,-1
1513,3.5
1514,-1
1515,-1
1516,-1
1517,-1
1518,-1
1519,3.25
1520,2.833333333333333
1521,1
1522,4.0
1523,-1
1524,1
1525,4.0
1526,3.25
1527,0.19999999999999996
1528,1.0
1529,2.583333333333333
1530,1
1531,-1
1532,-1
1533,0.1428571428571428
1534,3.25
1535,-1
1536,0.5
1537,0.33333333333333326
1538,2.833333333333333
1539,-1
