Episode,Reward
1986,-1
1987,3.166666666666667
1988,2.7
1989,1.0
1990,-1
1991,-1
1992,-1
1993,-1
1994,-1
1995,-1
1996,-1
1997,-1
1998,-1
1999,0.5
2000,-1
2001,2.666666666666667
2002,2.583333333333333
2003,1
2004,-1
2005,-1
2006,0.25
2007,-1
2008,-1
2009,0.19999999999999996
2010,4
2011,1
2012,-1
2013,1.0
2014,-1
2015,-1
2016,4.0
2017,0.09090909090909083
2018,-1
2019,-1
2020,-1
2021,-1
2022,0.125
2023,-1
2024,-1
2025,-1
2026,-1
2027,-1
2028,-1
2029,0.5
2030,-1
2031,-1
2032,1.0
2033,-1
2034,0.25
2035,-1
2036,-1
2037,-1
2038,-1
2039,-1
2040,-1
2041,0.5
2042,-1
2043,-1
2044,1
2045,-1
2046,-1
2047,4
2048,0.33333333333333326
2049,0.33333333333333326
2050,-1
2051,-1
2052,-1
2053,-1
2054,-1
2055,-1
2056,0.16666666666666674
2057,0.33333333333333326
2058,-1
2059,0.11111111111111116
2060,-1
2061,-1
2062,-1
2063,-1
2064,1
2065,-1
2066,-1
2067,-1
2068,-1
2069,1.0
2070,-1
2071,-1
2072,-1
2073,4
2074,-1
2075,0.33333333333333326
2076,-1
2077,-1
2078,-1
2079,-1
2080,-1
2081,4.0
2082,0.5
2083,-1
2084,-1
2085,1
2086,-1
2087,-1
2088,3.5
2089,2.4
2090,-1
2091,-1
2092,-1
2093,3.142857142857143
2094,-1
2095,-1
2096,-1
2097,-1
2098,-1
2099,-1
2100,-1
2101,0.25
2102,-1
2103,-1
2104,-1
2105,-1
2106,-1
2107,3.1
2108,3.0
2109,-1
2110,-1
2111,-1
2112,-1
2113,-1
2114,3.25
2115,0.25
2116,-1
2117,2.3333333333333335
2118,3.25
2119,-1
2120,-1
2121,-1
2122,-1
2123,-1
2124,1.0
2125,-1
2126,0.1428571428571428
2127,-1
2128,1.0
2129,-1
2130,-1
2131,-1
2132,-1
2133,0.5
2134,-1
2135,-1
2136,-1
2137,0.1428571428571428
2138,-1
2139,-1
2140,-1
2141,3.5
2142,2.6666666666666665
2143,-1
2144,0.5
2145,1.0
2146,-1
2147,-1
2148,1.0
2149,3.5
2150,1
2151,-1
2152,-1
2153,-1
2154,-1
2155,-1
2156,-1
2157,-1
2158,1.0
2159,3.25
2160,-1
2161,1.0
2162,-1
2163,-1
2164,3.25
2165,3.5
2166,-1
2167,-1
