episode,attacker_reward,defender_reward,epsilon,hack_probability
370,2.666666666666667,-2,0.1572956799768517,0
371,-1.0,1,0.15650920157696743,0
372,-1.0,1,0.1557266555690826,0
373,-1.0,1,0.1549480222912372,0
374,-1.0,1,0.15417328217978102,0
375,3.25,-2,0.1534024157688821,0
376,-1.0,1,0.1526354036900377,0
377,1.0,1,0.1518722266715875,0
378,4.0,-2,0.15111286553822956,0
379,-1.0,1,0.15035730121053842,0
380,-1.0,1,0.14960551470448571,0
381,3.142857142857143,-2,0.14885748713096328,0
382,-1.0,1,0.14811319969530845,0
383,-1.0,1,0.1473726336968319,0
384,1.0,1,0.14663577052834775,0
385,-1.0,1,0.14590259167570602,0
386,0.33333333333333326,1,0.1451730787173275,0
387,1.0,1,0.14444721332374086,0
388,2.45,-2,0.14372497725712216,0
389,-1.0,1,0.14300635237083656,0
390,2.416666666666667,-2,0.14229132060898236,0
391,2.5,-2,0.14157986400593744,0
392,-1.0,1,0.14087196468590776,0
393,-1.0,1,0.14016760486247823,0
394,-1.0,1,0.13946676683816583,0
395,-1.0,1,0.138769433003975,0
396,2.533333333333333,-2,0.13807558583895513,0
397,1.0,1,0.13738520790976036,0
398,-1.0,1,0.13669828187021155,0
399,-1.0,1,0.13601479046086049,0
400,4.0,-2,0.1353347165085562,0
401,-1.0,1,0.1346580429260134,0
402,-1.0,1,0.13398475271138335,0
403,4.0,-2,0.13331482894782642,0
404,-1.0,1,0.13264825480308728,0
405,-1.0,1,0.13198501352907185,0
406,3.166666666666667,-2,0.1313250884614265,0
407,-1.0,1,0.13066846301911936,0
408,-1.0,1,0.13001512070402377,0
409,3.0,-2,0.12936504510050365,0
410,-1.0,1,0.12871821987500112,0
411,4.0,-2,0.12807462877562611,0
412,-1.0,1,0.12743425563174798,0
413,0.16666666666666674,1,0.12679708435358925,0
414,-1.0,1,0.1261630989318213,0
415,1.0,1,0.1255322834371622,0
416,1.0,1,0.12490462201997637,0
417,1.0,1,0.1242800989098765,0
418,-1.0,1,0.12365869841532712,0
419,-1.0,1,0.12304040492325048,0
420,-1.0,1,0.12242520289863423,0
421,-1.0,1,0.12181307688414106,0
422,-1.0,1,0.12120401149972035,0
423,-1.0,1,0.12059799144222175,0
424,3.25,-2,0.11999500148501063,0
425,-1.0,1,0.11939502647758558,0
426,3.142857142857143,-2,0.11879805134519765,0
427,0.33333333333333326,1,0.11820406108847166,0
428,-1.0,1,0.1176130407830293,0
429,-1.0,1,0.11702497557911415,0
430,-1.0,1,0.11643985070121858,0
431,-1.0,1,0.11585765144771248,0
432,-1.0,1,0.11527836319047392,0
433,-1.0,1,0.11470197137452155,0
434,-1.0,1,0.11412846151764894,0
435,-1.0,1,0.1135578192100607,0
436,1.0,1,0.11299003011401039,0
437,0.33333333333333326,1,0.11242507996344034,0
438,-1.0,1,0.11186295456362313,0
